line	col	A	B	score_A	score_B	decision	note
p3_L30	12	=apres	-			M	gap: passes disagree on segmentation, needs image
p3_L30	13	=scaure	=signe	-3.236	-3.096	M	margin 0.35
p3_L30	14	=aubiery	=annoncy	-3.204	-3.182	M	margin 0.35
p3_L31	9	=oultre	-			M	gap: passes disagree on segmentation, needs image
p3_L31	10	=a	-			M	gap: passes disagree on segmentation, needs image
p3_L31	11	=ginlg	-			M	gap: passes disagree on segmentation, needs image
p3_L31	12	=oun	-			M	gap: passes disagree on segmentation, needs image
p3_L31	13	79	-			M	gap: passes disagree on segmentation, needs image
p3_L31	14	82	-			M	gap: passes disagree on segmentation, needs image
p3_L31	24	=loy	=les	-3.371	-3.197	M	margin 0.35
