line	pos	code	marks	reason
10	20	#		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
11	15	o.		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
11	15.5	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
11	19	+		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
12	9	o.		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
12	9.5	nt		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
12	21.5	H		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
13	5	w		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
13	17	lam		individually rechecked: compound shape is a small hook stacked over a rounded bowl/loop, consistent with two signs (lam over v); split accepted
13	17.5	v		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
13	21	w		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
13	21.5	o.		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
14	6	#		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
14	10	dl		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
14	20	y		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
14	20.5	y		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
14	25	g		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
14	26	y		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
15	3	y		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
15	3.5	S		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
15	9	H		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
15	16	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
15	16.5	lam		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
16	22	Z		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
17	6	phi		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
17	6.5	_		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
17	17	_		part of the same pos15-24 plain marginal-note run, see pos15
17	18	_		part of the same pos15-24 plain marginal-note run, see pos15
17	19	_		part of the same pos15-24 plain marginal-note run, see pos15
17	22	_		part of the same pos15-24 plain marginal-note run, see pos15
17	24	_		part of the same pos15-24 plain marginal-note run, see pos15
18	4	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
18	22	bh		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
19	9	g		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
19	13	f		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
19	23	nt		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
19	25	tee		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
19	25.5	y	7	settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
