line	pos	sign	gloss	source	why
22	30	62	e	G	two-stroke gloss read e
22	32	52	d	G	5 then z under a d-like gloss over the 5
22	33	6	e	G	two-stroke gloss sits directly over the 6, not between z and 6
22	36	64	f	G	crossed l/f-like gloss, joined to a descender from line 21 (t possible)
23	2	DEL		DEL	8 and z form one code under one gloss o
23	3	82	o	H	8 then z; single o gloss over the 8
23	4	S32	?	H	Y with long stem as S32; the large closed 9/q-like loop sitting on its left arm is probably a gloss (g/q), unsure
23	9	DEL		DEL	z and 6 form one code under one gloss
23	10	26	e	new	z then 6, two-stroke gloss over the z read e
23	13	4	o	G	small closed loop gloss; the stem it touches is the 4's own ascender
23	16	S74		G	4 with a c/9-shaped hooked stroke on its top left, as atlas S74
23	18	DEL		DEL	z and 6 form one code under one gloss
23	19	26	e	new	z then 6, two-stroke gloss over the z read e
23	23	S34	s	G	heavy A (flagged apex) joined to o; gloss s/5-shaped over the o
23	28	DEL		DEL	6 and 4 form one code under one gloss i
23	29	64	i	H	6 then 4, dotted i gloss over the 6
23	31	12	a	G	a over the z of 12; a bold dotted ?/3-like mark over the 1 left unassigned (H's z possible)
23	32	5	d	G	large d-like gloss sits over the 5
23	35	60	i	G	short undotted vertical gloss, no crossbar
23	36	4	s	G	tall long s above meets a cross with its own descending tail; read 4 with gloss s (as 21/37)
23	37	16	e	G	two-stroke gloss read e
23	38	S69	?	G	A with long crossbar ending in a hooked v at right; small x/c-like mark above unclear
24	2	S33	f	G	f-like mark (stem with bars) above the pi-shape read as gloss f
24	3	26	e	G	two-stroke gloss read e
24	5	DEL		DEL	8 and z form one code under one gloss o
24	6	82	o	H	8 then z, single o gloss over the 8
24	9	5	f	G	crossed l/f-like gloss, as 22/36
24	11	S34	x	G	gloss is a small x with a dot-like tick, not r
24	12	16	e	G	two-stroke gloss read e
24	17	DEL		DEL	z and 6 form one code under one gloss
24	18	26	e	new	z then 6, two-stroke gloss over the z read e
24	22	16	e	G	two-stroke gloss read e
24	25	26	e	G	two-stroke gloss over the z read e
24	28	4	o	G	small closed loop sitting on the 4's upright read as gloss o (as 23/13); S54 possible
24	30	7	v	G	heavy v-shaped gloss (as agreed 7 v at 23/7)
24	31	S64		G	z-like top with a curled descending tail, as agreed S64 at pos20
24	32	16	e	G	dot plus small curved stroke, read as the two-stroke e (i possible)
24	34	4	s	G	s/5-shaped gloss above the cross
24	36	S32	?	H	Y with long stem; closed 9-like loop under an arching flourish above its left arm (same form as 23/4), part-of-sign vs gloss unsettled
24	37	X	f	G	hook-headed stem with two thin crossbars to the right, not an x; gloss f
24	41	S34	x	G	gloss small x, as pos11
25	4	60	l	G	tall vertical gloss with slight hook, no crossbar
25	7	5	?	new	bold ?-shaped hook with a dot above the 5 (same mark as at 23/31, 25/30); neither f nor d settled
25	8	DEL		DEL	z and 6 form one code carrying a two-letter gloss
25	9	26	le	new	z then 6; gloss l over the z and a two-stroke e over the 6 (H read lc)
25	10	87	o	new	8 with a heavy loop above it (gloss o) and the 7's top bar running left through the 8; 8 and 7 tied into one code, unsure (H read a single X sign)
25	11	16	e	G	two-stroke gloss read e
25	12	S39		G	small closed loop at left joined to a long-s descender, as atlas S39
25	13	10	u	H	1 then 0 with a u gloss touching its top, not 14
25	16	62	e	G	two-stroke gloss read e
25	17	S34	x	G	gloss small x with a dot, not r
25	19	8	a	G	short flat dash before the 8 has no z diagonal; read 8 alone (H's 28 possible)
25	20	62	e	G	faint two-stroke mark over the 62 read e (weak)
25	21	S74		G	4 with a c-curl and hooked stroke on top left, as 23/16 and atlas S74
25	22	60	i	G	short undotted vertical gloss, no crossbar
25	24	5	?	G	5/3-shaped digit on the baseline under a bold p/B box mark joined by a stem; bold mark read as gloss (unsure, H read one X sign)
25	26	26	e	G	two-stroke gloss read e
25	28	|		G	long thin slash before the 5
25	29	5	o	new	s-shaped 5; the bold b-stroke above is the descender of line 24's long 5, leaving gloss o
25	30	9	?	H	bold ?-shaped hook above the 9 (same mark as 25/7), letter not settled
25	31	DEL		DEL	the two 4s form one code under one bold po gloss
25	32	44	po	H	4 4 with bold po gloss spanning both
26	1	X	uu	G	V/U with dot inside, gloss uu above; H has it at pos4
26	2	26	c	H	z and 6 written as one group, single c-mark over the z (an &-like mark also sits over the 6)
26	3	DEL		DEL	6 belongs to 26 at pos2
26	4	S40		new	n-shape with right leg curling into loop, dot after = atlas S40 (G's squiggle, H's S40 at pos6)
26	5	DEL		DEL	G's thin stroke is the long s of S35; H's 26 already at pos2
26	6	S35	bo	new	tall long s + small s with bo above = atlas S35
26	7	DEL		DEL	z belongs to 28 at pos8; mark high above it is ink from line 25
26	8	28	a	H	z8 one group, a gloss over the join
26	11	16	u	G	u-shaped mark above the 16
26	14	S34	u	G	u with hooked left stroke above Ao
26	15	DEL		DEL	z belongs to 26 at pos16
26	16	26	c	H	z6 group with c-like mark (thick comma) over the z
26	18	S32		H	symmetric Y on long stem; loop with dot over left arm is part of the sign, not a gloss
26	19	S53		G	long s rising into a 3-curl at top, one continuous glyph (matches S53), no small s
26	20	66		G	two 6s with curled heads, digit-sized
26	22	4	f	G	cross with tail; tall long-s/f mark at gloss height above
26	24	X	f	G	vertical with hooked top crossed by two bars; not the S23 x-with-tail shape; f above
26	26	S34	r	H	r-like gloss (stem with arm) above Ao, same as agreed 28/36
26	28	S32	q	new	symmetric Y on long stem (S32 as elsewhere), q/9-shaped gloss above
26	29	DEL		DEL	G's thin stroke is the long s of S35 at pos30
26	30	S35	bo	H	long s + small 5-like s, bo above
26	31	15	n	G	n over the 15 (3-hook further left)
26	32	16	u	G	u directly over 16
26	33	X	n	G	ua cluster, n above it
26	34	4	s	new	cross with tail, a long-s rises from its left arm at gloss height (read 4 + gloss s as at 27/25)
26	35	8	s	G	8 with small s/o-like mark above (closer to s)
26	36	2		G	lone z, no gloss
26	37	DEL		DEL	6 belongs to 64 at pos38
26	38	64	i	H	64 tight pair, i over the 6
27	3	S20		H	3-top joined to looped R-like body with foot; closer to S20 than to S67 'sa'
27	8	16	co	H	co/w-like mark over 16
27	10	X		G	upright with hooked top and two bars (as 26/24); no gloss visible beyond a dot
27	11	6		G	6 joined to next 7 by its bar (could be one group 67)
27	12	7		G	7 after the 6 (possibly 67 with pos11)
27	13	S64		H	flat-topped 3-shape = atlas S64
27	14	S04	e	G	hash; small e/c-like mark above right
27	15	S32	q	H	symmetric Y, 9/q-loop above as gloss
27	17	DEL		DEL	z belongs to 26 at pos18
27	18	26	c	H	z6 group, c-with-dot mark over the z
27	19	5	d	G	d-like loop above between 5 and 1
27	20	16	c	H	small c mark over the 16
27	22	DEL		DEL	z belongs to 28 at pos23
27	23	28	a	H	z8 group, a over the join
27	24	S52	ac	G	'ac' above the lattice
27	25	4	s	G	plain cross with tail; separate long-s above it
27	26	16	u	G	u-like mark above 16
27	27	DEL		DEL	G's stroke is the long s of S35 at pos28
27	28	S35		new	very tall long s descending + small s = S35; no gloss seen
27	29	S31	p	G	circle standing on a cross, p above
27	31	S34	r	H	r gloss above Ao (clear in zoom)
27	32	X	g	H	closed rho-like loop at body level with long tail below (not crossed, so not S63); g above
27	34	DEL		DEL	6 belongs to 62 at pos35
27	35	62	a	H	6z tight pair, a over the 6
27	37	1		G	lone 1 with clear gap before the 4
27	38	4		G	4 separate from the 1
27	39	X	r	new	L-stroke joined to plain A (LA ligature, not atlas S76/S24); r above
27	41	DEL		DEL	z belongs to 26 at pos42
27	42	26	c	new	z6 group at line end, c-like mark above the join
28	1	S12		G	small t-like cross at line start
28	2	5		G	thin s-shaped 5 (H's t-mark is pos1)
28	3	5		G	bold s-shaped 5, same height as the one before; not long-s + small s
28	7	DEL		DEL	z belongs to 26 at pos8
28	8	26	e	new	z6 group; two-tick dotted mark above (read e)
28	9	S39		G	9/d loop joined to long descending s = S39; no gloss
28	11	16	e	G	closed e-like blob above 16
28	12	S44	r	G	loop on a stem crossed at top (S44); r-like mark above
28	13	4	o	G	small o above 4
28	17	|		G	thin curved long-s stroke alone before the 6, not doubled S27
28	18	6	rr	G	rr above the 6
28	19	DEL		DEL	z belongs to 28 at pos20
28	20	28	a	new	z8 group; a over the 8
28	21	X	f	G	vertical crossed by two bars (as 26/24), f above
28	22	28	a	H	z8 group, a above the z
28	23	DEL		DEL	8 belongs to 28 at pos22; H's S23 is pos21
28	24	DEL		DEL	6 belongs to 64 at pos25
28	25	64	i	H	64 tight pair, i over the 6
28	26	S34	r	H	r-rotunda-like mark above Ao
28	27	16	e	G	two comma-strokes above 16 (two-tick mark read e)
28	28	22	w	G	w above; the cross over the first z is where line 27's long-s descender ends
28	29	5	n	H	n-like mark above the 5
28	32	DEL		DEL	z belongs to 26 at pos33
28	33	26	e	new	z6 group; two-blob mark over z (read e, H read a)
28	38	S64	bo	G	flat-topped 3-shape; large 'bo' (looks like 60) written above
28	39	44		G	two 4s after the S64
29	4	S35		new	very tall long s from above the line; with the agreed small 5 (pos5) it forms S35 -- reconciler: pos5 is its small s
29	6	DEL		DEL	6 belongs to 64 at pos7
29	7	64	b	new	64 pair; tall b/l-like mark over the 6
29	10	16	e	G	e-like dotted mark above 16
29	11	S33	e	H	pi-shape with two legs and crossed top = S33; e loop at top right is the gloss
29	20	S64		G	faint flat-topped 3-shape present; big interlinear '6C' above 29/20-21
29	21	5		G	s-shaped 5 after the S64
29	22	DEL		DEL	z belongs to 26 at pos23; H's 35 is pos20-21
29	23	26	e	new	z6 group, two-tick mark above (read e)
29	25	DEL		DEL	z belongs to 28 at pos26
29	26	28	a	H	z + triangular 8, a over the join
29	27	4	v	new	cross with long diagonal tail (a 4) with v-like gloss; the 3-curl beneath is a separate S64 (row 27.5), same as 32/12-13
29	27.5	S64		new	flat-topped 3-shape below-right of the 4
29	28	16	e	G	two-tick mark above (read e)
29	34	DEL		DEL	6 belongs to 64 at pos35
29	35	64	i	H	64 pair, i-stroke over it
29	36	62	e	G	two-tick mark (read e)
29	37	S60	o	G	loop with long S-tail curling down into line 30 (yogh/rho), o above
29	39	6	e	G	comma+stroke two-tick mark (read e)
30	2	5	m	H	m-like mark in the interline directly over the 5
30	3	12	a	H	a directly over 12
30	4	DEL		DEL	the hairline is the descender of line 29's tall long s (29/4)
30	5	68	ll	H	two long-s strokes in the interline over 68
30	6	16	e	G	two-tick mark (read e)
30	8	DEL		DEL	z belongs to 28 at pos9
30	9	28	a	H	z8 group, a above
30	10	60	t	H	stem with hook/cross stroke = t
30	11	X	g	H	ink blot over a sign, g visible above
30	12	5	i	G	short i-like strokes above
30	13	DEL		DEL	z belongs to 26 at pos14
30	14	26	e	new	z6 group; two-tick mark above z (read e)
30	16	DEL		DEL	1 belongs to 16 at pos17; the gloss sits over the 1-6 join
30	17	16	e	new	1 and 6 with two-tick mark centred above them
30	18	4		G	4 touching the 6; a long ascender from the 6 sweeps over it (not a second 6)
30	19	S63		new	q-loop on a crossed stem with a loop at the bottom = q with crossed descender; no gloss
30	21	16	e	G	two-tick mark (read e)
30	22	8	b3	new	bold filled 8 (open-s form of 8) after the 16, joined at its base to the S40; 'b3' above
30	23	S40		H	n-shape with right leg curling (as 26/4)
30	25	S65	wol	new	tall leaf-shaped loop = S65; 'wol' above with a bar
30	26	26	u	H	u-like mark above
30	28	9	c	H	c above 9 (as agreed 9 c elsewhere)
30	30	4		G	no gloss over this 4; the r belongs to the Ao
30	31	S34	r	both	r mark sits just left over the Ao
30	32	16	e	G	two-tick mark over 16; the long-s above belongs to the next sign
30	33	4	s	G	cross with tail, long s above as gloss (as 27/25)
30	34	S33	r	H	r above the pi sign
30	35	DEL		DEL	blob is the end of line 29's long curl (29/37), not a divider
30	36	64		G	no gloss; blob above is line 29's curl
30	37	16	e	G	two-tick mark (read e)
30	38	15	n	G	broken n-like marks above
31	1	S23	fa	G	f-like crossed mark and a above the sign
31	5	16	e	G	two-dot mark (read e)
31	8	2	r	H	r-rotunda-like mark above z
31	12	S64		H	3-shape on the line body joined to the Ao; the d-loop above it is the agreed 5's gloss
31	13	S34	z	G	small z mark above the A
31	16	X		G	hooked horizontal with long descender; the spiral above is the end of line 30's S63 tail, not a gloss
31	17	DEL		DEL	spiral curl is the lower end of line 30's S63 (30/19), not a line-31 sign
31	21	|		G	thin tall stroke before the minims, lower than them
31	23	DEL		DEL	z belongs to 26 at pos24
31	24	26		H	z6 group; the k/h mark above is the tail of line 30's S65
31	25	X	fait	G	Z/2 with looped left stroke and crossbar, word 'fait' above
31	26	9	t	G	t above the 9
31	27	1	p	new	lone 1 (only one 6 follows); v/p-like mark above
31	28	6	e	G	looped e-like mark above
31	30	4	s	G	cross with long s above it (4 + gloss s)
31	31	2	i	H	dotted i above the z
31	33	S34	r	H	r above Ao
31	34	S32	q	new	symmetric Y on long stem (S32 as 26/28); q/9 above
31	35	5	l	G	L-like mark above between 5 and 1
31	36	16	e	G	two-tick mark (read e)
32	1	S36		G	heavy x crossed by a tall rising stroke (same as agreed 32/14)
32	6	S35		new	huge wedge long s + small s = S35
32	7	DEL		DEL	G's small 8/delta is the small s of S35
32	8	DEL		DEL	6 belongs to 62 at pos9
32	9	62	e	H	6z tight pair, two-tick mark over 6 (read e)
32	10	4	s	G	cross with long s above (4 + gloss s)
32	12	4	y	G	cross with long diagonal tail = 4; y above
32	13	S64		G	flat-topped 3-shape right of the 4 (separate glyph)
32	19	DEL		DEL	vertical stroke is the descender of line 31's hooked sign (31/16)
32	21	4	y	G	cross with diagonal tail, y above
32	22	S64		G	flat-topped 3-shape after it
32	23	26	c	new	z6 group, c mark above
32	24	DEL		DEL	6 belongs to 26 at pos23
32	31	S34		G	A joined to o written above the line over the 2 (interlinear, possibly an insertion)
32	33	6		G	no gloss over this 6; the iu marks sit over the 18
32	34	18	u	G	u with dots over 18
32	35	4	s	G	cross with tall long s above (4 + gloss s)
32	37	9	c	G	bold 9 after the slash, c above
32	38	8	o	G	separate bold 8, o above
32	39	7	umm	G	umm gloss starts over the 7, bar continues right
32	40	6		G	single 6 between 7 and 16 (only 7 6 1 6 visible)
33	2	S63		H	9/q-loop on a crossbar with slanting descender = q with crossed descender
33	3	S17	f	H	tall crossed mark above ff reads f
33	5	6	e	G	two-tick mark (read e)
33	6	S21		H	heavy f-like long s with hooked top crossing a bar, descends below the line = S21
33	8	DEL		DEL	no separate 60: after 16 the digits are 0 6 (tight) then 62
33	9	06	uu	G	0 and 6 tight together, gap from the 16; uu above
33	10	62	r	new	r-like mark above the 62
33	11	S29		G	three minims; the long bar above is an abbreviation-like stroke, not a letter gloss
33	13	4		G	cross with long bar, read as 4
33	20	4		G	no gloss over this 4; the f is over the next 5
33	21	5	f	G	f directly above the bold 5
33	22	5	d	G	d directly above the small 5
33	26	DEL		DEL	6 belongs to 64 at pos27
33	27	64	i	H	64 pair, i over 6
33	28	16	e	G	two-tick mark (read e)
33	31	X		G	vertical crossed by two long bars (as 26/24), not S23 x-with-tail
29	18	2	i	H	i-like stroke with comma above the z
33	7	16	e	G	two-tick mark above 16 (read e)
