line	position	token	kind	gloss	grade	note
20	7	62	digit		M	written as z-curl(2) + 6
20	8	X?	X?		M	small n-ligature; no confident atlas match
20	9	14	digit		H
20	10	15	digit		M
20	11	9	digit		M
20	12	26	digit		M	written as z-curl(2) + 6
20	13	X?	X?		M	loop flourish; no confident atlas match
20	14	7	digit		H
20	15	16	digit		H
20	16	S27	sign		M	tall doubled long-s with crossbar (ff)
20	17	26	digit		M	written as z-curl(2) + 6
20	18	X?	X?		M	small n-ligature; no confident atlas match
20	19	1016	digit		M	digit run, boundary uncertain
20	20	4	digit		H
20	21	S21	sign		M	hooked ascender with tail
20	22	960	digit		M	digit run, boundary uncertain
20	23	S34	sign		H	Ao ligature
20	24	14	digit		H	dense ink blot nearby, not transcribed as a token
20	25	15	digit		M
20	26	S37	sign		M	crossed t joined to o
20	27	X?	X?		M	"loop flourish resembling ""bo""; no confident atlas match; last token before right edge of leaf"
21	1	29	digit		M	digit run, boundary uncertain
21	2	S21	sign		M	hooked ascender with tail
21	3	5	digit		H
21	4	S13	sign		M	plus/cross mark
21	5	26	digit		M	written as z-curl(2) + 6
21	6	X?	X?		M	"ligature resembling ""th""; no confident atlas match"
21	7	16	digit		H
21	8	X?	X?		M	"ligature resembling ""7A""; no confident atlas match, cf. S76"
21	9	62	digit		M	written as z-curl(2) + 6
21	10	S13	sign		M	plus/cross mark
21	11	60	digit		H
21	12	X?	X?		M	small z-ligature; no confident atlas match
21	13	S04	sign		M	hash/lattice mark
21	14	18	digit		H
21	15	97	digit		H
21	16	64	digit		H
21	17	S21	sign		M	hooked ascender with tail
21	18	9	digit		H
21	19	60	digit		H
21	20	X?	X?		M	small n-shape; no confident atlas match
21	21	16	digit		H
21	22	|	divider		H	true bold vertical divider
21	23	12	digit		M	written as 1 + z-curl(2)
21	24	102	digit		M	written as 1+0+z-curl(2)
21	25	S37	sign		M	crossed t joined to o
21	26	S34	sign		H	Ao ligature
21	27	62	digit		M	written as z-curl(2) + 6
21	28	9	digit		H
21	29	174	digit		M	digit run, boundary uncertain
21	30	S21	sign		M	hooked ascender with tail
21	31	4	digit		H	last token before right edge of leaf
22	1	|	divider		H	true bold vertical divider
22	2	9	digit		H
22	3	S30	sign		M	c-hook joined to na
22	4	16	digit		H
22	5	S21	sign		M	hooked ascender with tail
22	6	S37	sign		M	crossed t joined to o
22	7	14	digit		H
22	8	1	digit		M
22	9	15	digit		M
22	10	S37	sign		M	crossed t joined to o
22	11	|	divider		H	true bold vertical divider
22	12	16	digit		H
22	13	15	digit		M
22	14	94	digit		M
22	15	4	digit		H
22	16	X?	X?		M	Ao-like loop ligature; no confident atlas match
22	17	26	digit		M	written as z-curl(2) + 6
22	18	X?	X?		M	bold X/cross; no confident atlas match
22	19	S40	sign		M	ornate hooked n/omega-loop ligature; tentative
22	20	26	digit		M	written as z-curl(2) + 6
22	21	S37	sign		M	crossed t joined to o
22	22	5	digit		H
22	23	104	digit		M
22	24	S34	sign		H	Ao ligature
22	25	S30	sign		M	c-hook joined to na
22	26	62	digit		M	written as z-curl(2) + 6
22	27	|	divider		H	true bold vertical divider
22	28	52	digit		M	digit run, boundary uncertain
22	29	S13	sign		M	plus/cross mark
22	30	S27	sign		M	tall doubled long-s with crossbar (ff)
22	31	64	digit		H
22	32	102	digit		M	last token before right edge of leaf, written as 1+0+z-curl(2)
23	1	708	digit		M	digit run, boundary uncertain
23	2	|	divider		H	true bold vertical divider
23	3	S79	sign		M	y-shape, low confidence
23	4	24	digit		M	written as z-curl(2) + 4
23	5	14	digit		H
23	6	X?	X?		M	small n-shape; no confident atlas match
23	7	7	digit		H
23	8	44	digit		H
23	9	16	digit		H
23	10	X?	X?		M	hooked cross ligature; no confident atlas match, cf. S13
23	11	60	digit		H
23	12	26	digit		M	written as z-curl(2) + 6
23	13	102	digit		M	written as 1+0+z-curl(2)
23	14	62	digit		M	written as z-curl(2) + 6
23	15	S21	sign		M	hooked ascender with tail
23	16	64	digit		H
23	17	S21	sign		M	hooked ascender with tail
23	18	102	digit		M	written as 1+0+z-curl(2)
23	19	64	digit		H
23	20	22	digit		M	digit run, boundary uncertain
23	21	X?	X?		M	"small ligature resembling ""po""; no confident atlas match"
23	22	12	digit		M	written as 1 + z-curl(2)
23	23	102	digit		M	written as 1+0+z-curl(2)
23	24	60	digit		H
23	25	S21	sign		M	hooked ascender with tail
23	26	16	digit		H
23	27	S13	sign		M	plus/cross mark; last token before right edge of leaf
24	1	S04	sign		M	hash/lattice mark
24	2	X?	X?		M	small n-shape; no confident atlas match
24	3	26	digit		M	written as z-curl(2) + 6
24	4	S21	sign		M	hooked ascender with tail
24	5	28	digit		M	digit run, boundary uncertain
24	6	102	digit		M	written as 1+0+z-curl(2)
24	7	5	digit		H
24	8	S34	sign		H	Ao ligature
24	9	16	digit		H
24	10	|	divider		H	true bold vertical divider
24	11	62	digit		M	written as z-curl(2) + 6
24	12	15	digit		M
24	13	S21	sign		M	hooked ascender with tail
24	14	26	digit		M	written as z-curl(2) + 6
24	15	S29	sign		M	three minims (uu)
24	16	26	digit		M	written as z-curl(2) + 6
24	17	5	digit		H
24	18	16	digit		H	dense ink blot nearby, not transcribed as a token
24	19	26	digit		M	written as z-curl(2) + 6
24	20	S21	sign		M	hooked ascender with tail
24	21	S29	sign		M	three minims (uu)
24	22	4	digit		H
24	23	X?	X?		M	small n-ligature; no confident atlas match
24	24	5	digit		H
24	25	X?	X?		M	bold H-like shape; no confident atlas match, cf. S75
24	26	X?	X?		M	V-loop ligature similar to line01 pos.23; no confident atlas match
24	27	S21	sign		M	hooked ascender with tail
24	28	12	digit		M	written as 1 + z-curl(2)
24	29	7	digit		H
24	30	S34	sign		H	Ao ligature
24	31	14	digit		H	last token before right edge of leaf
25	1	S37	sign		M	crossed t joined to o
25	2	26	digit		M	written as z-curl(2) + 6
25	3	15	digit		M
25	4	60	digit		H
25	5	S34	sign		H	Ao ligature
25	6	220	digit		M	digit run, boundary uncertain
25	7	56	digit		M
25	8	X?	X?		M	"looped ligature resembling ""B"", cf. S24; no confident atlas match"
25	9	16	digit		H
25	10	12	digit		M	written as 1 + z-curl(2)
25	11	S37	sign		M	crossed t joined to o
25	12	6	digit		H
25	13	S34	sign		H	Ao ligature
25	14	X?	X?		M	small m-shape; no confident atlas match
25	15	25	digit		M	digit run, boundary uncertain
25	16	6	digit		H
25	17	X?	X?		M	crossed flourish; no confident atlas match
25	18	60	digit		H
25	19	S21	sign		M	hooked ascender with tail
25	20	X?	X?		M	"looped ligature resembling ""B"", cf. S24; no confident atlas match"
25	21	364	digit		M	digit run, boundary uncertain
25	22	26	digit		M	written as z-curl(2) + 6
25	23	15	digit		M
25	24	X?	X?		M	"looped ""Y""-ligature; no confident atlas match"
25	25	5	digit		H
25	26	9	digit		H
25	27	44	digit		H	last token before right edge of leaf
26	1	X?	X?		M	V-loop ligature similar to line01 pos.23; no confident atlas match
26	2	26	digit		M	written as z-curl(2) + 6
26	3	X?	X?		M	"ligature resembling ""ba""; no confident atlas match"
26	4	5	digit		H
26	5	26	digit		M	written as z-curl(2) + 6
26	6	S27	sign		M	tall doubled long-s with crossbar (ff)
26	7	16	digit		H
26	8	10	digit		M
26	9	S13	sign		M	plus/cross mark
26	10	S34	sign		H	Ao ligature
26	11	26	digit		M	written as z-curl(2) + 6
26	12	X?	X?		M	flourish resembling capital A/R; no confident atlas match, cf. S76
26	13	S79	sign		M	y-shape, low confidence
26	14	X?	X?		M	"double-loop ""3""-like shape; no confident atlas match"
26	15	S17	sign		M	double-cross/ff/H-like ligature
26	16	X?	X?		M	crossed flourish; no confident atlas match
26	17	60	digit		H
26	18	S21	sign		M	hooked ascender with tail
26	19	16	digit		H
26	20	S34	sign	a	H	Ao ligature
26	21	14	digit		H
26	22	S79	sign	q	M	y-shape, low confidence
26	23	60	digit		H
26	24	X?	X?		M	"looped ""nu""-ligature; no confident atlas match"
26	25	15	digit		M
26	26	16	digit		H
26	27	S30	sign		M	c-hook joined to na
26	28	X?	X?		M	crossed flourish; no confident atlas match
26	29	62	digit		M	written as z-curl(2) + 6
26	30	64	digit		H	last token before right edge of leaf
27	1	6	digit		H
27	2	|	divider		H	true bold vertical divider
27	3	32	digit		M	written as 3 + z-curl(2)
27	4	14	digit		H
27	5	X?	X?		M	looped flourish; no confident atlas match
27	6	102	digit		M	written as 1+0+z-curl(2)
27	7	X?	X?		M	"looped ""Y""-ligature; no confident atlas match"
27	8	S34	sign		H	Ao ligature
27	9	S17	sign		M	double-cross/ff/H-like ligature
27	10	73	digit		H
27	11	S52	sign		M	lattice, three strokes across three
27	12	X?	X?		M	looped flourish; no confident atlas match
27	13	26	digit		M	written as z-curl(2) + 6
27	14	16	digit		H
27	15	9	digit		H
27	16	28	digit		M	digit run, boundary uncertain
27	17	S52	sign		M	lattice, three strokes across three
27	18	S13	sign		M	plus/cross mark
27	19	16	digit		H
27	20	S21	sign		M	hooked ascender with tail
27	21	12	digit		M	written as 1 + z-curl(2)
27	22	S34	sign		H	Ao ligature
27	23	|	divider		H	true bold vertical divider
27	24	15	digit		M
27	25	62	digit		M	written as z-curl(2) + 6
27	26	S21	sign		M	hooked ascender with tail
27	27	14	digit		H
27	28	S76	sign		M	plain capital A
27	29	62	digit		M	last token before right edge of leaf, written as z-curl(2) + 6
28	1	S27	sign		M	tall doubled long-s with crossbar (ff)
28	2	16	digit		H	"small cursive marginal annotation resembling ""tou..."" visible nearby, not transcribed as a token"
28	3	9	digit		H
28	4	15	digit		M
28	5	S21	sign		M	hooked ascender with tail
28	6	X?	X?		M	looped shape; no confident atlas match
28	7	9	digit		H
28	8	26	digit		M	written as z-curl(2) + 6
28	9	X?	X?		M	small ligature; no confident atlas match
28	10	16	digit		H
28	11	S13	sign		M	plus/cross mark
28	12	44	digit		H
28	13	102	digit		M	written as 1+0+z-curl(2)
28	14	X?	X?		M	"flourish resembling ""uu""; no confident atlas match"
28	15	26	digit		M	written as z-curl(2) + 6
28	16	5	digit		H
28	17	S04	sign		M	hash/lattice mark
28	18	28	digit		M	digit run, boundary uncertain
28	19	64	digit		H
28	20	S34	sign		H	Ao ligature
28	21	16	digit		H
28	22	26	digit		M	written as z-curl(2) + 6
28	23	5	digit		H
28	24	104	digit		M
28	25	26	digit		M	written as z-curl(2) + 6
28	26	915	digit		M	digit run, boundary uncertain
28	27	60	digit		H
28	28	S34	sign		H	Ao ligature
28	29	12	digit		M	written as 1 + z-curl(2)
28	30	344	digit		M	last token before right edge of leaf, digit run boundary uncertain
29	1	102	digit		M	written as 1+0+z-curl(2)
29	2	S37	sign		M	crossed t joined to o
29	3	S21	sign		M	hooked ascender with tail
29	4	64	digit		H
29	5	X?	X?		M	"looped ""B""-shape; no confident atlas match"
29	6	X?	X?		M	bold X/cross; no confident atlas match
29	7	X?	X?		M	R-like flourish, cf. S13/S33; no confident atlas match
29	8	14	digit		H
29	9	X?	X?		M	"looped ""B""-shape; no confident atlas match"
29	10	8	digit		H
29	11	14	digit		H
29	12	24	digit		M	written as z-curl(2) + 4
29	13	X?	X?		M	6C-like ligature; no confident atlas match
29	14	26	digit		M	written as z-curl(2) + 6
29	15	X?	X?		M	7-cross flourish; no confident atlas match
29	16	60	digit		H
29	17	X?	X?		M	Av-like ligature, cf. S69; no confident atlas match
29	18	244	digit		M	digit run, boundary uncertain; top of crop shows sliver repeating line28's tail, not transcribed
29	19	64	digit		M
29	20	X?	X?		M	small flourish; no confident atlas match
29	21	611	digit		M	last legible token before right edge of leaf; digit run boundary uncertain; low confidence throughout this line's second half
30	1	X?	X?		M	bold X/cross; no confident atlas match
30	2	512	digit		M	digit run, boundary uncertain
30	3	S27	sign		M	tall doubled long-s with crossbar (ff)
30	4	69	digit		M
30	5	|	divider		H	true bold vertical divider
30	6	X?	X?		M	small m-shape; no confident atlas match
30	7	60	digit		M	dense ink blot nearby, not transcribed as a token
30	8	26	digit		M	written as z-curl(2) + 6
30	9	S27	sign		M	tall doubled long-s with crossbar (ff)
30	10	164	digit		M	digit run, boundary uncertain
30	11	X?	X?		M	"looped flourish resembling ""γ7""; no confident atlas match"
30	12	9	digit		H
30	13	652	digit		M	digit run, boundary uncertain
30	14	X?	X?		M	32-like loop shape; no confident atlas match
30	15	S04	sign		M	hash/lattice mark
30	16	X?	X?		M	small hooked flourish; no confident atlas match
30	17	615	digit		M	digit run, boundary uncertain
30	18	744	digit		M	digit run, boundary uncertain
30	19	64	digit		H
30	20	26	digit		M	written as z-curl(2) + 6
30	21	615	digit		M	digit run, boundary uncertain
30	22	9	digit		M
30	23	44	digit		H
30	24	S34	sign		H	Ao ligature
30	25	16	digit		H
30	26	X?	X?		M	crossed hooked flourish; no confident atlas match
30	27	641	digit		M	last legible token before right edge of leaf; digit run boundary uncertain; low confidence for this line's second half
31	1	12	digit		M	written as 1 + z-curl(2)
31	2	60	digit		H
31	3	S13	sign		M	plus/cross mark
31	4	16	digit		H
31	5	X?	X?		M	"looped ligature resembling ""uud""; no confident atlas match"
31	6	S37	sign		M	crossed t joined to o
31	7	26	digit		M	written as z-curl(2) + 6
31	8	5	digit		H
31	9	X?	X?		M	looped flourish; no confident atlas match
31	10	S34	sign		H	Ao ligature
31	11	64	digit		H
31	12	X?	X?		M	looped flourish; no confident atlas match
31	13	S17	sign		M	double-cross/ff/H-like ligature
31	14	X?	X?		M	y-like shape; no confident atlas match
31	15	X?	X?		M	looped flourish; no confident atlas match
31	16	S37	sign		M	crossed t joined to o
31	17	64	digit		H
31	18	X?	X?		M	small m-shape; no confident atlas match
31	19	26	digit		M	written as z-curl(2) + 6
31	20	S21	sign		M	hooked ascender with tail
31	21	159	digit		M	digit run, boundary uncertain
31	22	44	digit		H
31	23	S34	sign		H	Ao ligature
31	24	16	digit		H
31	25	S13	sign		M	plus/cross mark
31	26	X?	X?		M	small n-ligature; no confident atlas match
31	27	64	digit		H	"small cursive marginal annotation resembling ""fact"" visible nearby, not transcribed as a token"
31	28	1611	digit		M	digit run, boundary uncertain
31	29	6	digit		M	last legible token before right edge of leaf; low confidence for this line's second half
32	1	X?	X?		M	small looped flourish; no confident atlas match
32	2	S75	sign		M	bold capital H
32	3	917	digit		M	digit run, boundary uncertain
32	4	S13	sign		M	plus/cross mark
32	5	S21	sign		M	hooked ascender with tail
32	6	56	digit		M
32	7	24	digit		M	written as z-curl(2) + 4
32	8	S13	sign		M	plus/cross mark
32	9	15	digit		M
32	10	73	digit		H
32	11	X?	X?		M	"cross joined to ""8""; no confident atlas match"
32	12	82	digit		M	written as 8 + z-curl(2)
32	13	S30	sign		M	c-hook joined to na
32	14	S37	sign		M	crossed t joined to o
32	15	102	digit		M	written as 1+0+z-curl(2)
32	16	S21	sign		M	hooked ascender with tail
32	17	5	digit		H
32	18	73	digit		H
32	19	26	digit		M	written as z-curl(2) + 6
32	20	S21	sign		M	hooked ascender with tail
32	21	56	digit		M
32	22	917	digit		M	digit run, boundary uncertain
32	23	102	digit		M	written as 1+0+z-curl(2)
32	24	S13	sign		M	plus/cross mark
32	25	S76	sign		M	plain capital A
32	26	6618	digit		M	digit run, boundary uncertain
32	27	S13	sign		M	plus/cross mark
32	28	957	digit		M	digit run, boundary uncertain
32	29	616	digit		M	digit run, boundary uncertain; a bold horizontal end-of-line flourish/underline follows, not transcribed as a token; last token before right edge of leaf, low confidence throughout this line
33	1	X?	X?		M	"small cursive ""s""-like mark; no confident atlas match; last line of the leaf, remainder of the crop below is blank page"
33	2	X?	X?		M	bold crossed 2-leg loop; no confident atlas match
33	3	X?	X?		M	bold crossed double-leg ligature; no confident atlas match
33	4	|	divider		M	horizontal double-dash style divider
33	5	6	digit		H
33	6	S21	sign		M	hooked ascender with tail
33	7	16	digit		H
33	8	60	digit		M	digit run, boundary uncertain
33	9	62	digit		M	written as z-curl(2) + 6, or 0/6 then z-curl(2); low confidence
33	10	S29	sign		M	three minims (uu)
33	11	60	digit		H
33	12	S13	sign		M	plus/cross mark
33	13	|	divider		H	true bold vertical divider
33	14	102	digit		M	written as 1+0+z-curl(2); a long horizontal pen flourish follows, not transcribed as a token
33	15	44	digit		H
33	16	104	digit		M
33	17	S21	sign		M	hooked ascender with tail
33	18	X?	X?		M	looped flourish; no confident atlas match
33	19	S34	sign		M	Ao ligature, low confidence
33	20	611	digit		M	digit run, boundary uncertain
33	21	S13	sign		M	"plus/cross mark; small cursive marginal annotation resembling ""fau..."" visible nearby, not transcribed as a token; a bracket-like closing flourish follows at the page edge, marking the end of the text; last token of the transcription"
