family	unit	selector	offset	direction	best_window_score	best_window	cover_run	cover_text
C book-wide words	paragraph	last word	8	rev	-0.174	out said down it it too asked that	1565	
C book-wide words	paragraph	last word	8	rev	-0.175	mail it had but beautiful understand strict five	1314	
C book-wide words	paragraph	last word	8	rev	-0.185	worked so talk yourself mean brain him out	67	
C book-wide words	paragraph	last word	12	rev	0.512	it all exclaimed here then you up i already him him that	3241	
C book-wide words	paragraph	last word	12	rev	-0.035	complimentary them these envelopes me on it be more satisfaction see though	204	
C book-wide words	paragraph	last word	12	rev	-0.046	balance pocket it i i will end carefully yes course casually rate	790	
C book-wide words	paragraph	last word	12	rev	-0.160	mail it had but beautiful understand strict five funny i about perhaps	1314	
C book-wide words	paragraph	last word	12	rev	-0.196	himalayas brows smiling speak hamphurst again i asked you her way me	2896	
C book-wide words	paragraph	last word	12	rev	-0.233	separate piece self insane offered remarked comment grunt his all it was	2327	
C book-wide words	paragraph	last word	12	rev	-0.275	here changed disturbance prevent next happened time discharged business it asked me	1770	
C book-wide words	paragraph	last word	12	rev	-0.290	downtown time late man officer right too in died of officer inside	1987	
C book-wide words	paragraph	last word	12	rev	-0.293	building entrance here it see trouble i question in suddenly calm said	567	
C book-wide words	paragraph	last word	12	rev	-0.320	interrupted and finger before berries supper shining sought dollars james carefully i	2841	
C book-wide words	paragraph	last word	12	rev	-0.345	gray room past man human that away sir understand sir it sir	2040	
C book-wide words	paragraph	last word	12	rev	-0.347	dog story same below out said down it it too asked that	1561	
C book-wide words	paragraph	last word	12	rev	-0.361	worked so talk yourself mean brain him out trembling answered husband you	67	
C book-wide words	paragraph	last word	12	rev	-0.371	it anywhere mentioned dead estate third he it letter died her maid	2439	
C book-wide words	paragraph	last word	12	rev	-0.392	don't long again seer course of them impression death asked way presume	2005	
C book-wide words	line	first word	6	fwd	0.811	one way asked why she can	5993	
C book-wide words	line	first word	6	fwd	0.801	divan for out of these would	14880	
C book-wide words	line	first word	6	fwd	0.783	stood at that which a long	13263	
C book-wide words	line	first word	6	fwd	0.772	handed when the floor it i	7696	
C book-wide words	line	first word	6	fwd	0.679	isn't mind you come with tears	644	
C book-wide words	line	first word	6	fwd	0.661	the hearty silence to ask if	7527	
C book-wide words	line	first word	6	fwd	0.646	nal raise what to say so	884	
C book-wide words	line	first word	6	fwd	0.639	one like the third other building	6635	
C book-wide words	line	first word	6	fwd	0.624	afterward thing to all day the	11274	
C book-wide words	line	first word	6	fwd	0.619	yes and stared that disappearance i	6699	
C book-wide words	line	first word	6	fwd	0.608	why are the times i can	4580	
C book-wide words	line	first word	6	fwd	0.578	ought do tell why was a	13679	
C book-wide words	line	first word	6	fwd	0.576	you'd now in chase turned full	13099	
C book-wide words	line	first word	6	fwd	0.573	trust and i leave to that	10646	
C book-wide words	line	first word	6	fwd	0.573	room mrs if he seemed the	14109	
C book-wide words	line	first word	8	fwd	0.566	sympathy one one way asked why she can	5991	
C book-wide words	line	first word	8	fwd	0.498	me and why are the times i can	4578	
C book-wide words	line	first word	8	fwd	0.487	tomorrow throw into these to but it also	4411	
C book-wide words	line	first word	8	fwd	0.455	iously one like the third other building window	6634	
C book-wide words	line	first word	8	fwd	0.392	haps so then this it drew the st	14796	
C book-wide words	line	first word	8	fwd	0.379	commit the dealer view for say he but	10999	
C book-wide words	line	first word	8	fwd	0.378	i said she he asked oh that the	7186	
C book-wide words	line	first word	8	fwd	0.346	isn't mind you come with tears he for	644	
C book-wide words	line	first word	8	fwd	0.320	her was the hearty silence to ask if	7525	
C book-wide words	line	first word	8	fwd	0.309	leska the one his all was not at	13081	
C book-wide words	line	first word	8	fwd	0.298	expected to and could though the shoulder of	3810	
C book-wide words	line	first word	8	fwd	0.298	countenance thou hast ps yea me i go	3680	
C book-wide words	line	first word	8	fwd	0.289	the one there what was with that it	1666	
C book-wide words	line	first word	8	fwd	0.274	close that not me have i and i	6465	
C book-wide words	line	first word	8	fwd	0.257	no no ought do tell why was a	13677	
C book-wide words	line	first word	12	fwd	0.245	ental sympathy one one way asked why she can your only she	5990	
C book-wide words	line	first word	12	fwd	0.142	ings glass the gods plans you holding must can it as he	8368	
C book-wide words	line	first word	12	fwd	0.108	about i boy through me and why are the times i can	4574	
C book-wide words	line	first word	12	fwd	0.096	quent most the quiet close that not me have i and i	6461	
C book-wide words	line	first word	12	fwd	0.055	don't on this over look why one it why this the letter	4857	
C book-wide words	line	first word	12	fwd	-0.003	did course of good thing a vestry with one there then he	1469	
C book-wide words	line	first word	12	fwd	-0.053	out of these would sort she his would with but as in	14882	
C book-wide words	line	first word	12	fwd	-0.066	ond passed so now her her eyes her will your left he	7553	
C book-wide words	line	first word	12	fwd	-0.074	city of what he nel has trust and i leave to that	10640	
C book-wide words	line	first word	12	fwd	-0.080	mr asked the time one in that only the also of the	7483	
C book-wide words	line	first word	12	fwd	-0.084	first with up but the i handed when the floor it i	7690	
C book-wide words	line	first word	12	fwd	-0.085	valeska conceited me expected to and could though the shoulder of no	3807	
C book-wide words	line	first word	12	fwd	-0.092	chester having would come joy ruth they themselves for and for i	3864	
C book-wide words	line	first word	12	fwd	-0.107	this and asked why that one nothing again has yes sir mr	6722	
C book-wide words	line	first word	12	fwd	-0.113	which i give come at door and another they ventilated room the	14620	
C book-wide words	line	first word	6	rev	0.793	and i have me not that	8554	
C book-wide words	line	first word	6	rev	0.779	the only that in one time	7534	
C book-wide words	line	first word	6	rev	0.771	jenson i am since you insult	3932	
C book-wide words	line	first word	6	rev	0.759	there's instant as he knows who	3682	
C book-wide words	line	first word	6	rev	0.723	scope known but with the great	4611	
C book-wide words	line	first word	6	rev	0.673	bosh kindly such a young some	14308	
C book-wide words	line	first word	6	rev	0.598	survey every time in it a	6433	
C book-wide words	line	first word	6	rev	0.595	is ready me he has his	8485	
C book-wide words	line	first word	6	rev	0.592	anceship and to the house and	9140	
C book-wide words	line	first word	6	rev	0.590	i did a small one and	10579	
C book-wide words	line	first word	6	rev	0.563	owed well said it from one	2456	
C book-wide words	line	first word	6	rev	0.560	didn't of the course to it	7340	
C book-wide words	line	first word	6	rev	0.545	before as with light in the	12523	
C book-wide words	line	first word	6	rev	0.501	olden the table he gasped oh	4285	
C book-wide words	line	first word	6	rev	0.483	holdups out why what why did	2859	
C book-wide words	line	first word	8	rev	0.654	also the only that in one time the	7533	
C book-wide words	line	first word	8	rev	0.534	i and i have me not that close	8553	
C book-wide words	line	first word	8	rev	0.522	of years and leading another in him i	12418	
C book-wide words	line	first word	8	rev	0.492	language water as at a positive be easy	4501	
C book-wide words	line	first word	8	rev	0.392	i did a small one and absolutely with	10579	
C book-wide words	line	first word	8	rev	0.372	it our things you and looked till lost	3621	
C book-wide words	line	first word	8	rev	0.342	ill no is ready me he has his	8483	
C book-wide words	line	first word	8	rev	0.322	they have much john we returned and not	12693	
C book-wide words	line	first word	8	rev	0.307	then of a wild here yes then oh	13339	
C book-wide words	line	first word	8	rev	0.249	thing in he you tell that said then	14458	
C book-wide words	line	first word	8	rev	0.235	more that to help shoulders if you had	8578	
C book-wide words	line	first word	8	rev	0.211	same corner meanwhile window but the west at	4005	
C book-wide words	line	first word	8	rev	0.208	jenson i am since you insult a i	3932	
C book-wide words	line	first word	8	rev	0.198	there of the pink up that the room	6689	
C book-wide words	line	first word	8	rev	0.193	clever lighted as how are of call my	1591	
C book-wide words	line	first word	12	rev	0.220	ence he may it our things you and looked till lost gazing	3618	
C book-wide words	line	first word	12	rev	0.197	ond besides he ever more that to help shoulders if you had	8574	
C book-wide words	line	first word	12	rev	0.192	language water as at a positive be easy medically door that while	4501	
C book-wide words	line	first word	12	rev	0.190	snuff did the very i did a small one and absolutely with	10575	
C book-wide words	line	first word	12	rev	0.175	of i and i have me not that close quiet the most	8552	
C book-wide words	line	first word	12	rev	0.095	with the assistant then ere my to touch branch's mystery through the	4851	
C book-wide words	line	first word	12	rev	0.087	sive in great left ill no is ready me he has his	8479	
C book-wide words	line	first word	12	rev	0.055	windowframe i followed room he but himself country and he to that	12089	
C book-wide words	line	first word	12	rev	0.030	astro alarmed of years and leading another in him i president his	12416	
C book-wide words	line	first word	12	rev	0.028	well you some the then of a wild here yes then oh	13335	
C book-wide words	line	first word	12	rev	0.015	scope known but with the great is has they wear slight the	4611	
C book-wide words	line	first word	12	rev	0.002	can a navy beimer there of the pink up that the room	6685	
C book-wide words	line	first word	12	rev	-0.050	year we if like strong her for that you how men not	523	
C book-wide words	line	first word	12	rev	-0.079	inquired but was certainly locket mean that but hand light to miss	9885	
C book-wide words	line	first word	12	rev	-0.084	thing in he you tell that said then waited hudson of the	14458	
C book-wide words	line	last word	6	fwd	1.137	the fourth left side all the	8656	
C book-wide words	line	last word	6	fwd	0.944	go to be here that it	162	
C book-wide words	line	last word	6	fwd	0.918	the time for the outside the	3043	
C book-wide words	line	last word	6	fwd	0.872	marie they so no idea has	3186	
C book-wide words	line	last word	6	fwd	0.855	denton time good deal but may	3051	
C book-wide words	line	last word	6	fwd	0.764	him and then it where the	12287	
C book-wide words	line	last word	6	fwd	0.746	knees were in cold these good	4116	
C book-wide words	line	last word	6	fwd	0.684	we'll be pretty man can easily	10475	
C book-wide words	line	last word	6	fwd	0.661	mysteries which for it like you	10342	
C book-wide words	line	last word	6	fwd	0.657	about i know now my affairs	589	
C book-wide words	line	last word	6	fwd	0.649	puzzle letter was there was this	4843	
C book-wide words	line	last word	6	fwd	0.642	pectoris chap that i give a	10292	
C book-wide words	line	last word	6	fwd	0.641	inquired casually case of course yes	11749	
C book-wide words	line	last word	6	fwd	0.641	little cry and whole story i	10602	
C book-wide words	line	last word	6	fwd	0.626	message him with a perfume and	2570	
C book-wide words	line	last word	8	fwd	0.878	surrounded be the fourth left side all the	8654	
C book-wide words	line	last word	8	fwd	0.513	about i know now my affairs you making	589	
C book-wide words	line	last word	8	fwd	0.509	and then it where the form his pocket	12288	
C book-wide words	line	last word	8	fwd	0.505	we'll be pretty man can easily away he	10475	
C book-wide words	line	last word	8	fwd	0.473	prin dovetails go to be here that it	160	
C book-wide words	line	last word	8	fwd	0.425	had somehow sudden sight to suppose that a	10820	
C book-wide words	line	last word	8	fwd	0.419	the table it behind the steps cab in	3942	
C book-wide words	line	last word	8	fwd	0.363	has he said the answer that and while	10069	
C book-wide words	line	last word	8	fwd	0.358	daughter of hands mysteries which for it like	10339	
C book-wide words	line	last word	8	fwd	0.358	the time for the outside the the key	3043	
C book-wide words	line	last word	8	fwd	0.350	at his hand am the paper with the	8187	
C book-wide words	line	last word	8	fwd	0.329	you bet have it some young face the	13434	
C book-wide words	line	last word	8	fwd	0.317	breakfast with fast to a nine to the	5945	
C book-wide words	line	last word	8	fwd	0.305	stu take any you should yet do the	13817	
C book-wide words	line	last word	8	fwd	0.301	leaves his finger reveal message him with a	2566	
C book-wide words	line	last word	12	fwd	0.338	stooped to the him and then it where the form his pocket	12284	
C book-wide words	line	last word	12	fwd	0.334	the time for the outside the the key denton time good deal	3043	
C book-wide words	line	last word	12	fwd	0.216	between back to all in search company sat about his hand up	7600	
C book-wide words	line	last word	12	fwd	0.193	we'll be pretty man can easily away he her then had left	10475	
C book-wide words	line	last word	12	fwd	0.180	fin out yard the surrounded be the fourth left side all the	8650	
C book-wide words	line	last word	12	fwd	0.118	en for window of every light approach of land it and about	13137	
C book-wide words	line	last word	12	fwd	0.094	know now my affairs you making business are her you go on	591	
C book-wide words	line	last word	12	fwd	0.093	care door i but stand marie they so no idea has go	3181	
C book-wide words	line	last word	12	fwd	0.090	daughter of hands mysteries which for it like you i or in	10339	
C book-wide words	line	last word	12	fwd	0.073	won you certainly i that it of about the right was to	11076	
C book-wide words	line	last word	12	fwd	0.056	diaz story the play almost more money the cigar well i i	13471	
C book-wide words	line	last word	12	fwd	0.052	course it and great value asked carelessly at would it did it	766	
C book-wide words	line	last word	12	fwd	0.044	psalm fourteen them the city hat drove square raised it with a	3921	
C book-wide words	line	last word	12	fwd	0.044	get the table it behind the steps cab in pace to last	3941	
C book-wide words	line	last word	12	fwd	0.021	the over a be at his hand am the paper with the	8183	
C book-wide words	line	last word	6	rev	1.140	the right to the most cases	6493	
C book-wide words	line	last word	6	rev	0.924	thing it by one night before	5777	
C book-wide words	line	last word	6	rev	0.879	on where did no friends and	4426	
C book-wide words	line	last word	6	rev	0.826	valeska to come to it so	4958	
C book-wide words	line	last word	6	rev	0.760	go to the atmosphere order to	14941	
C book-wide words	line	last word	6	rev	0.738	i talked world i hope to	4646	
C book-wide words	line	last word	6	rev	0.729	it and then is about me	13851	
C book-wide words	line	last word	6	rev	0.687	it that i i will end	3247	
C book-wide words	line	last word	6	rev	0.673	thousand years abandoned with my reason	5975	
C book-wide words	line	last word	6	rev	0.673	me she was to him to	3883	
C book-wide words	line	last word	6	rev	0.672	away behind him and her the	7433	
C book-wide words	line	last word	6	rev	0.658	get it to the appearance in	14896	
C book-wide words	line	last word	6	rev	0.643	he and discover seemed to the	6520	
C book-wide words	line	last word	6	rev	0.640	worried any come and from his	6060	
C book-wide words	line	last word	6	rev	0.604	row it were the hall a	1889	
C book-wide words	line	last word	8	rev	0.654	addressed to me it it and then is	13847	
C book-wide words	line	last word	8	rev	0.561	go to the atmosphere order to and take	14941	
C book-wide words	line	last word	8	rev	0.542	fellow on where did no friends and five	4425	
C book-wide words	line	last word	8	rev	0.447	mid the the right to the most cases	6491	
C book-wide words	line	last word	8	rev	0.426	it by one night before baboon but laugh	5778	
C book-wide words	line	last word	8	rev	0.421	it it till and asked me he would	7205	
C book-wide words	line	last word	8	rev	0.397	he it get it to the appearance in	14894	
C book-wide words	line	last word	8	rev	0.397	like thing i talked world i hope to	4644	
C book-wide words	line	last word	8	rev	0.350	marks the care it it in the other	9490	
C book-wide words	line	last word	8	rev	0.336	client i it that i i will end	3245	
C book-wide words	line	last word	8	rev	0.322	can for did sir only very likely was	8557	
C book-wide words	line	last word	8	rev	0.321	could he do you spend she has and	3324	
C book-wide words	line	last word	8	rev	0.299	distress return a sympathy he were almost the	8141	
C book-wide words	line	last word	8	rev	0.296	thousand years abandoned with my reason luck fire	5975	
C book-wide words	line	last word	8	rev	0.283	it to mr thought him about a man	2172	
C book-wide words	line	last word	12	rev	0.281	reading you addressed to me it it and then is about me	13845	
C book-wide words	line	last word	12	rev	0.211	ethel the all it if baboon thing it by one night before	5771	
C book-wide words	line	last word	12	rev	0.191	that another depart business it it till and asked me he would	7201	
C book-wide words	line	last word	12	rev	0.145	and cry little times fellow on where did no friends and five	4421	
C book-wide words	line	last word	12	rev	0.083	secretary handed it to client i it that i i will end	3241	
C book-wide words	line	last word	12	rev	0.039	maverick not like thing i talked world i hope to worry how	4642	
C book-wide words	line	last word	12	rev	0.017	thousand years abandoned with my reason luck fire the opened than after	5975	
C book-wide words	line	last word	12	rev	-0.027	day a worse it of only worried any come and from his	6054	
C book-wide words	line	last word	12	rev	-0.040	va up sides corner mid the the right to the most cases	6487	
C book-wide words	line	last word	12	rev	-0.047	acknowledge to come as well barrister feelings sup powers so do you	14316	
C book-wide words	line	last word	12	rev	-0.055	said he has remarked valeska to come to it so how birth	4954	
C book-wide words	line	last word	12	rev	-0.058	with gone for the home the i it did it would at	14241	
C book-wide words	line	last word	12	rev	-0.060	cabinet case on in a square peered not round table which his	13632	
C book-wide words	line	last word	12	rev	-0.066	occult in or i you like it for which mysteries hands of	4674	
C book-wide words	line	last word	12	rev	-0.084	seat on marks the care it it in the other across and	9488	
C book-wide words	page	first word	6	fwd	0.745	unless rising some why without his	364	
C book-wide words	page	first word	6	fwd	0.666	astro when mrs which body then	212	
C book-wide words	page	first word	6	fwd	0.665	samugi spending the well the idea	321	
C book-wide words	page	first word	6	fwd	0.566	tenant his with not he hurried	301	
C book-wide words	page	first word	6	fwd	0.559	door who be to who the	277	
C book-wide words	page	first word	6	fwd	0.513	astro lone fools blood as in	60	
C book-wide words	page	first word	6	fwd	0.484	tive line a hebrew the the	88	
C book-wide words	page	first word	6	fwd	0.430	late noon marked it time my	270	
C book-wide words	page	first word	6	fwd	0.392	scriptural the he should of and	107	
C book-wide words	page	first word	6	fwd	0.328	mensely and something to scope and	329	
C book-wide words	page	first word	6	fwd	0.291	thing but of fanshawe's all at	69	
C book-wide words	page	first word	6	fwd	0.237	lent took his well pound would	9	
C book-wide words	page	first word	6	fwd	0.234	valeska we'll was to the i	180	
C book-wide words	page	first word	6	fwd	0.210	could his places had knew the	474	
C book-wide words	page	first word	6	fwd	0.208	astro looked and looked child's would	129	
C book-wide words	page	first word	8	fwd	0.495	unless rising some why without his the edge	364	
C book-wide words	page	first word	8	fwd	0.313	rupted have i tive line a hebrew the	85	
C book-wide words	page	first word	8	fwd	0.253	yond door who be to who the with	276	
C book-wide words	page	first word	8	fwd	0.241	blood as in they county be thing but	63	
C book-wide words	page	first word	8	fwd	0.212	sadly ever late noon marked it time my	268	
C book-wide words	page	first word	8	fwd	0.191	nerves mensely and something to scope and a	328	
C book-wide words	page	first word	8	fwd	0.158	a young she camorra thrower he what then	47	
C book-wide words	page	first word	8	fwd	0.157	astro yes do gracious her well no the	403	
C book-wide words	page	first word	8	fwd	0.077	magazine other their it's ing i is that	258	
C book-wide words	page	first word	8	fwd	0.076	drew had could his places had knew the	472	
C book-wide words	page	first word	8	fwd	0.067	let's i i said number tus too a	429	
C book-wide words	page	first word	8	fwd	0.033	valeska's oh he city front my be the	337	
C book-wide words	page	first word	8	fwd	-0.007	fatalist i tenant his with not he hurried	299	
C book-wide words	page	first word	8	fwd	-0.019	was to the i mucfi at in that	182	
C book-wide words	page	first word	8	fwd	-0.063	valeska no why her scriptural the he should	103	
C book-wide words	page	first word	12	fwd	0.287	samugi spending the well the idea staves nerves mensely and something to	321	
C book-wide words	page	first word	12	fwd	0.232	noon marked it time my yond door who be to who the	271	
C book-wide words	page	first word	12	fwd	0.136	astro lone fools blood as in they county be thing but of	60	
C book-wide words	page	first word	12	fwd	0.085	we'll was to the i mucfi at in that telephone and as	181	
C book-wide words	page	first word	12	fwd	0.032	tive line a hebrew the the you whose entered that the my	88	
C book-wide words	page	first word	12	fwd	0.011	sorts temper it ka's unless rising some why without his the edge	360	
C book-wide words	page	first word	12	fwd	-0.076	entering was ness very a young she camorra thrower he what then	43	
C book-wide words	page	first word	12	fwd	-0.086	mcgraw i i own astro yes do gracious her well no the	399	
C book-wide words	page	first word	12	fwd	-0.119	valeska's oh he city front my be the ready he's only then	337	
C book-wide words	page	first word	12	fwd	-0.190	tenant his with not he hurried what mcgraw trousers the ahead a	301	
C book-wide words	page	first word	12	fwd	-0.243	ble you've do somehow drew had could his places had knew the	468	
C book-wide words	page	first word	12	fwd	-0.274	leska he i so room ring safe hesitating hum swiftly have he	15	
C book-wide words	page	first word	12	fwd	-0.289	scriptural the he should of and ruth ply lover from i it	107	
C book-wide words	page	first word	12	fwd	-0.299	magazine other their it's ing i is that eyes ready sadly ever	258	
C book-wide words	page	first word	12	fwd	-0.352	astro looked and looked child's would unfinished into of information before know	129	
C book-wide words	page	first word	6	rev	1.388	he not with his tenant i	174	
C book-wide words	page	first word	6	rev	0.919	sadly ready eyes that is i	211	
C book-wide words	page	first word	6	rev	0.785	with the who to be who	196	
C book-wide words	page	first word	6	rev	0.730	hebrew a line tive i have	388	
C book-wide words	page	first word	6	rev	0.682	ing at all fanshawe's of but	404	
C book-wide words	page	first word	6	rev	0.593	venture well why i if the	122	
C book-wide words	page	first word	6	rev	0.565	ruth and of should he the	366	
C book-wide words	page	first word	6	rev	0.545	shrug awaited seized then what he	422	
C book-wide words	page	first word	6	rev	0.469	mcgraw alone oh then down he	80	
C book-wide words	page	first word	6	rev	0.443	ing see gaze in or the	268	
C book-wide words	page	first word	6	rev	0.387	surely i oh eration i think	15	
C book-wide words	page	first word	6	rev	0.312	took lent the weight pretty well	469	
C book-wide words	page	first word	6	rev	0.304	safe ring room so i he	458	
C book-wide words	page	first word	6	rev	0.302	nerves staves idea the well the	151	
C book-wide words	page	first word	6	rev	0.301	candy do in deliver it i	357	
C book-wide words	page	first word	8	rev	0.797	mcgraw what hurried he not with his tenant	171	
C book-wide words	page	first word	8	rev	0.484	to be who door yond my time it	199	
C book-wide words	page	first word	8	rev	0.469	acteristics awake on i we ing at all	399	
C book-wide words	page	first word	8	rev	0.404	late ever sadly ready eyes that is i	209	
C book-wide words	page	first word	8	rev	0.324	entered whose you the the hebrew a line	383	
C book-wide words	page	first word	8	rev	0.239	gradually about their he she i of a	245	
C book-wide words	page	first word	8	rev	0.205	surely i oh eration i think when oh	15	
C book-wide words	page	first word	8	rev	0.180	fanshawe's of but thing be county they in	407	
C book-wide words	page	first word	8	rev	0.167	met venture well why i if the view	121	
C book-wide words	page	first word	8	rev	0.109	tive i have rupted it a underneath the	391	
C book-wide words	page	first word	8	rev	0.072	lent the weight pretty well hudson shouldn't i	470	
C book-wide words	page	first word	8	rev	0.055	telephone that in at mucfi i the to	289	
C book-wide words	page	first word	8	rev	0.041	leska hand to tised is oh with the	190	
C book-wide words	page	first word	8	rev	0.009	valeska's examine a and scope to something and	142	
C book-wide words	page	first word	8	rev	-0.027	astro ing see gaze in or the a	267	
C book-wide words	page	first word	12	rev	0.389	oh with the who to be who door yond my time it	195	
C book-wide words	page	first word	12	rev	0.267	ing at all fanshawe's of but thing be county they in as	404	
C book-wide words	page	first word	12	rev	0.264	he not with his tenant i fatalist all since pretty what the	174	
C book-wide words	page	first word	12	rev	0.089	you the the hebrew a line tive i have rupted it a	385	
C book-wide words	page	first word	12	rev	-0.028	magnet no past his gradually about their he she i of a	241	
C book-wide words	page	first word	12	rev	-0.030	why i if the view murray teen then only he's ready the	124	
C book-wide words	page	first word	12	rev	-0.093	late ever sadly ready eyes that is i ing it's their other	209	
C book-wide words	page	first word	12	rev	-0.094	speare he have swiftly hum hesitating safe ring room so i he	452	
C book-wide words	page	first word	12	rev	-0.099	shrug awaited seized then what he thrower camorra she young a very	422	
C book-wide words	page	first word	12	rev	-0.165	deliver it i from lover ply ruth and of should he the	360	
C book-wide words	page	first word	12	rev	-0.176	surely i oh eration i think when oh i've stellery he he	15	
C book-wide words	page	first word	12	rev	-0.221	sixtwelve know before information of into unfinished would child's looked and looked	338	
C book-wide words	page	first word	12	rev	-0.262	front city he oh valeska's examine a and scope to something and	138	
C book-wide words	page	first word	12	rev	-0.270	barber this sorts as and telephone that in at mucfi i the	284	
C book-wide words	page	first word	12	rev	-0.305	pound well his took lent the weight pretty well hudson shouldn't i	466	
C book-wide words	page	last word	6	fwd	1.217	pretext of these he he see	473	
C book-wide words	page	last word	6	fwd	1.002	illum was and harder it the	127	
C book-wide words	page	last word	6	fwd	0.769	kellem added if by no her	211	
C book-wide words	page	last word	6	fwd	0.689	fell said and evil was opened	372	
C book-wide words	page	last word	6	fwd	0.675	smile narghile sure it and with	101	
C book-wide words	page	last word	6	fwd	0.577	them a body walk all are	159	
C book-wide words	page	last word	6	fwd	0.539	friends out story this in all	336	
C book-wide words	page	last word	6	fwd	0.473	courage here all investigate the man	190	
C book-wide words	page	last word	6	fwd	0.308	myself she friend for men now	201	
C book-wide words	page	last word	6	fwd	0.297	through for are then opened at	364	
C book-wide words	page	last word	6	fwd	0.291	selfreproachful with here securely the girl	173	
C book-wide words	page	last word	6	fwd	0.289	turban vanity the to any it	64	
C book-wide words	page	last word	6	fwd	0.238	swiftly out a there young to	235	
C book-wide words	page	last word	6	fwd	0.232	considerable seer be the out to	273	
C book-wide words	page	last word	6	fwd	0.190	lieu on talked is t and	300	
C book-wide words	page	last word	8	fwd	0.709	was to smile narghile sure it and with	99	
C book-wide words	page	last word	8	fwd	0.681	illum was and harder it the bad left	127	
C book-wide words	page	last word	8	fwd	0.507	astro pretext of these he he see least	472	
C book-wide words	page	last word	8	fwd	0.418	hypothesis night them a body walk all are	157	
C book-wide words	page	last word	8	fwd	0.387	knowl room fell said and evil was opened	370	
C book-wide words	page	last word	8	fwd	0.296	countess of themselves began selwyn swiftly out a	230	
C book-wide words	page	last word	8	fwd	0.253	this in all scowl table seer he had	339	
C book-wide words	page	last word	8	fwd	0.189	searching past writ kellem added if by no	208	
C book-wide words	page	last word	8	fwd	0.174	vales kiss through for are then opened at	362	
C book-wide words	page	last word	8	fwd	0.092	crimes to courage here all investigate the man	188	
C book-wide words	page	last word	8	fwd	0.004	ar selfreproachful with here securely the girl last	172	
C book-wide words	page	last word	8	fwd	-0.011	re surprising considerable seer be the out to	271	
C book-wide words	page	last word	8	fwd	-0.012	eyes fight myself she friend for men now	199	
C book-wide words	page	last word	8	fwd	-0.022	horoscopes lieu on talked is t and minute	299	
C book-wide words	page	last word	8	fwd	-0.040	house too over well it master he that	425	
C book-wide words	page	last word	12	fwd	0.273	re for suavely machine was to smile narghile sure it and with	95	
C book-wide words	page	last word	12	fwd	0.190	sup square staring out illum was and harder it the bad left	123	
C book-wide words	page	last word	12	fwd	0.061	inevita when park her and astro pretext of these he he see	467	
C book-wide words	page	last word	12	fwd	0.053	letter were see the hypothesis night them a body walk all are	153	
C book-wide words	page	last word	12	fwd	0.050	for men now assistant searching past writ kellem added if by no	204	
C book-wide words	page	last word	12	fwd	0.032	chicago all our careless vales kiss through for are then opened at	358	
C book-wide words	page	last word	12	fwd	0.020	friends out story this in all scowl table seer he had me	336	
C book-wide words	page	last word	12	fwd	-0.081	corner insult as countess of themselves began selwyn swiftly out a there	227	
C book-wide words	page	last word	12	fwd	-0.139	knowl room fell said and evil was opened right drellmont know character	370	
C book-wide words	page	last word	12	fwd	-0.153	courage here all investigate the man street abso and eyes fight myself	190	
C book-wide words	page	last word	12	fwd	-0.180	selfreproachful with here securely the girl last hospital condition began identified i	173	
C book-wide words	page	last word	12	fwd	-0.196	studio table the asked house too over well it master he that	421	
C book-wide words	page	last word	12	fwd	-0.253	mary see for sentimental i as kabala he busi offered in his	36	
C book-wide words	page	last word	12	fwd	-0.290	surprising considerable seer be the out to beginning merrington opium leather is	272	
C book-wide words	page	last word	12	fwd	-0.330	hudson me the john him yourself barrister latter value well shake he	16	
C book-wide words	page	last word	6	rev	1.232	scowl all in this story out	137	
C book-wide words	page	last word	6	rev	1.153	accounts it any to the vanity	409	
C book-wide words	page	last word	6	rev	0.910	that's ever a laugh wife mrs	182	
C book-wide words	page	last word	6	rev	0.798	certainly company to young there a	237	
C book-wide words	page	last word	6	rev	0.735	clay it up office and get	80	
C book-wide words	page	last word	6	rev	0.727	lof that he master it well	46	
C book-wide words	page	last word	6	rev	0.508	pho are all walk body a	314	
C book-wide words	page	last word	6	rev	0.438	over too house asked the table	52	
C book-wide words	page	last word	6	rev	0.405	inter street nine me had he	129	
C book-wide words	page	last word	6	rev	0.360	soberly elevator the appearance out was	87	
C book-wide words	page	last word	6	rev	0.310	nearsighted him yourself silence fail his	225	
C book-wide words	page	last word	6	rev	0.254	merrington beginning to out the be	199	
C book-wide words	page	last word	6	rev	0.247	messages exclaimed with and it sure	371	
C book-wide words	page	last word	6	rev	0.190	assistant now men for friend she	272	
C book-wide words	page	last word	6	rev	0.158	sensi room i inter do for	392	
C book-wide words	page	last word	8	rev	0.874	scowl all in this story out friends to	137	
C book-wide words	page	last word	8	rev	0.681	specter miss accounts it any to the vanity	407	
C book-wide words	page	last word	8	rev	0.612	lof that he master it well over too	46	
C book-wide words	page	last word	8	rev	0.342	astro certainly company to young there a out	236	
C book-wide words	page	last word	8	rev	0.281	dully clay it up office and get girl	79	
C book-wide words	page	last word	8	rev	0.207	horoscopes a that's ever a laugh wife mrs	180	
C book-wide words	page	last word	8	rev	0.148	asked the table studio the a prisoner laugh	55	
C book-wide words	page	last word	8	rev	0.128	office papers i messages exclaimed with and it	368	
C book-wide words	page	last word	8	rev	0.061	drinking the new good we nearsighted him yourself	220	
C book-wide words	page	last word	8	rev	0.031	astro lamp boy threw the account sheet but	335	
